,alcaldia,tiraderos,areas_verdes,puntos_wifi,poblacion,superficie
0,Cuauhtemoc,274.0,566,1967,545884,32.4
1,Iztapalapa,219.0,2098,2160,1835486,117.0
2,Benito Juarez,147.0,484,1350,434153,26.63
3,Venustiano Carranza,109.0,630,1011,443704,33.4
4,Alvaro Obregon,77.0,721,1786,759137,96.17
5,Miguel Hidalgo,69.0,925,1476,414470,46.99
6,Coyoacan,68.0,1802,1711,614447,54.4
7,Iztacalco,47.0,386,850,432205,33.66
8,Azcapotzalco,47.0,948,1355,404695,23.3
9,Tlahuac,35.0,576,564,392313,85.34
10,Milpa Alta,13.0,129,236,152685,228.41
11,Xochimilco,12.0,196,453,442178,122.0
12,Magdalena Contreras,5.0,200,595,217686,74.58
13,Cuajimalpa,5.0,444,563,247622,74.58
14,Tlalpan,2.0,735,2053,699928,312.0
15,Gustavo A. Madero,0.0,835,1836,1173351,94.07
